region,estado,latitude,longitude,ano,mes,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",Temperatura Média (°C),area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia,n_incendios
Norte,Acre,-9.95777777,-68.165,1998,Janeiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Fevereiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Abril,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Maio,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Junho,,,,,,,,,,,30.0
Norte,Acre,-9.95777777,-68.165,1998,Julho,,,,,,,,,,,370.0
Norte,Acre,-9.95777777,-68.165,1998,Agosto,,,,,,,,,,,1300.0
Norte,Acre,-9.95777777,-68.165,1998,Setembro,,,,,,,,,,,5090.0
Norte,Acre,-9.95777777,-68.165,1998,Outubro,,,,,,,,,,,440.0
Norte,Acre,-9.95777777,-68.165,1998,Novembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1998,Dezembro,,,,,,,,,,,70.0
Norte,Acre,-9.95777777,-68.165,1999,Janeiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Fevereiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Abril,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Maio,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Junho,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Julho,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,1999,Agosto,,,,,,,,,,,630.0
Norte,Acre,-9.95777777,-68.165,1999,Setembro,,,,,,,,,,,2090.0
Norte,Acre,-9.95777777,-68.165,1999,Outubro,,,,,,,,,,,600.0
Norte,Acre,-9.95777777,-68.165,1999,Novembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,1999,Dezembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2000,Janeiro,,,170884.0,15392.0,0.0,154785.49999999997,0.0,514.6,74.3,117.6,0.0
Norte,Acre,-9.95777777,-68.165,2000,Fevereiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2000,Março,,,,,,,,,,,110.0
Norte,Acre,-9.95777777,-68.165,2000,Abril,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2000,Maio,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2000,Junho,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2000,Julho,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2000,Agosto,,,,,,,,,,,1360.0
Norte,Acre,-9.95777777,-68.165,2000,Setembro,,,,,,,,,,,2650.0
Norte,Acre,-9.95777777,-68.165,2000,Outubro,,,,,,,,,,,180.0
Norte,Acre,-9.95777777,-68.165,2000,Novembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2000,Dezembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2001,Janeiro,,,170884.0,16097.8,705.9000000000001,154079.7,0.0,514.6,74.3,117.6,0.0
Norte,Acre,-9.95777777,-68.165,2001,Fevereiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2001,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2001,Abril,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2001,Maio,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2001,Junho,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2001,Julho,,,,,,,,,,,30.0
Norte,Acre,-9.95777777,-68.165,2001,Agosto,,,,,,,,,,,3960.0
Norte,Acre,-9.95777777,-68.165,2001,Setembro,,,,,,,,,,,2900.0
Norte,Acre,-9.95777777,-68.165,2001,Outubro,,,,,,,,,,,1370.0
Norte,Acre,-9.95777777,-68.165,2001,Novembro,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2001,Dezembro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2002,Janeiro,,,170884.0,17057.0,959.5,153120.49999999997,0.0,514.6,74.3,117.6,0.0
Norte,Acre,-9.95777777,-68.165,2002,Fevereiro,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2002,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2002,Abril,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2002,Maio,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2002,Junho,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2002,Julho,,,,,,,,,,,390.0
Norte,Acre,-9.95777777,-68.165,2002,Agosto,,,,,,,,,,,7280.0
Norte,Acre,-9.95777777,-68.165,2002,Setembro,,,,,,,,,,,19490.0
Norte,Acre,-9.95777777,-68.165,2002,Outubro,,,,,,,,,,,6870.0
Norte,Acre,-9.95777777,-68.165,2002,Novembro,,,,,,,,,,,860.0
Norte,Acre,-9.95777777,-68.165,2002,Dezembro,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2003,Janeiro,,,170884.0,18085.1,1027.6999999999998,152092.4,0.0,514.6,74.3,117.6,100.0
Norte,Acre,-9.95777777,-68.165,2003,Fevereiro,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2003,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2003,Abril,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2003,Maio,,,,,,,,,,,60.0
Norte,Acre,-9.95777777,-68.165,2003,Junho,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2003,Julho,,,,,,,,,,,1680.0
Norte,Acre,-9.95777777,-68.165,2003,Agosto,,,,,,,,,,,19760.0
Norte,Acre,-9.95777777,-68.165,2003,Setembro,,,,,,,,,,,39420.0
Norte,Acre,-9.95777777,-68.165,2003,Outubro,,,,,,,,,,,7400.0
Norte,Acre,-9.95777777,-68.165,2003,Novembro,,,,,,,,,,,150.0
Norte,Acre,-9.95777777,-68.165,2003,Dezembro,,,,,,,,,,,10.0
Norte,Acre,-9.95777777,-68.165,2004,Janeiro,,,170884.0,18894.5,809.5,151283.0,0.0,514.6,74.3,117.6,0.0
Norte,Acre,-9.95777777,-68.165,2004,Fevereiro,,,,,,,,,,,30.0
Norte,Acre,-9.95777777,-68.165,2004,Março,,,,,,,,,,,0.0
Norte,Acre,-9.95777777,-68.165,2004,Abril,,,,,,,,,,,20.0
Norte,Acre,-9.95777777,-68.165,2004,Maio,,,,,,,,,,,70.0
Norte,Acre,-9.95777777,-68.165,2004,Junho,,,,,,,,,,,50.0
Norte,Acre,-9.95777777,-68.165,2004,Julho,,,,,,,,,,,420.0
Norte,Acre,-9.95777777,-68.165,2004,Agosto,,,,,,,,,,,6450.0
Norte,Acre,-9.95777777,-68.165,2004,Setembro,,,,,,,,,,,19780.0
Norte,Acre,-9.95777777,-68.165,2004,Outubro,,,,,,,,,,,4610.0
Norte,Acre,-9.95777777,-68.165,2004,Novembro,,,,,,,,,,,100.0
Norte,Acre,-9.95777777,-68.165,2004,Dezembro,,,,,,,,,,,70.0
Norte,Acre,-9.95777777,-68.165,2005,Janeiro,,,170884.0,19634.099999999995,739.7,150542.10000000003,1.3,514.6,74.3,117.6,120.0
